Keyword_number,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19
1,use,use,use,use,use,use,use,use,use,like,googl,like,like,educ,use,use,team,use,use,use
2,educ,like,need,like,like,code,gener,like,write,gener,peopl,use,use,use,team,gener,ask,task,write,make
3,googl,time,ask,languag,help,write,model,make,openai,educ,use,tool,tool,gener,openai,industri,use,gener,like,time
4,like,write,time,tool,think,ask,help,write,product,intellig,human,chang,new,like,time,write,write,learn,code,like
5,openai,make,learn,task,task,educ,write,think,googl,use,data,need,gener,think,new,human,new,like,creat,think
6,make,think,educ,model,human,human,train,educ,tool,train,like,model,educ,dont,educ,time,openai,write,ask,im
7,help,task,think,train,write,gener,tool,technolog,help,technolog,help,time,come,write,like,replac,like,model,good,educ
8,new,educ,like,new,need,answer,skill,tech,futur,data,train,educ,industri,content,start,learn,make,creat,skill,task
9,way,gener,make,make,look,need,human,openai,code,concern,want,human,team,know,industri,peopl,human,make,make,question
10,peopl,tool,task,openai,new,develop,new,train,creat,team,write,write,creat,come,futur,ask,tri,new,learn,data
11,write,replac,person,skill,replac,like,team,skill,need,model,think,creat,openai,develop,busi,like,content,tool,data,write
12,skill,student,openai,learn,peopl,skill,thing,peopl,time,openai,task,want,task,team,real,im,educ,busi,check,good
13,product,question,futur,mani,creation,artificialintellig,intellig,code,like,artifici,make,skill,way,openai,content,technolog,good,ask,task,answer
14,gener,openai,good,know,way,technolog,im,world,human,human,new,tech,help,better,concern,make,need,need,gener,openai
15,think,ask,new,technolog,openai,come,say,need,make,tool,threat,learn,think,tech,realli,futur,time,chatbot,need,new
16,chatbot,creat,creat,industri,content,good,like,task,know,make,chang,team,creation,student,tool,creat,answer,content,train,tool
17,task,look,data,content,educ,dont,build,learn,power,perform,way,read,ask,make,ask,team,look,train,new,busi
18,code,learn,im,human,creat,question,data,time,intellig,peopl,creat,way,make,way,need,skill,project,free,human,gener
19,say,differ,industri,thing,industri,student,time,new,way,languag,ask,chatbot,skill,becom,way,check,creat,potenti,team,googl
20,tool,skill,replac,peopl,student,intellig,creat,gener,task,task,replac,problem,write,concern,make,tool,learn,way,look,help
